,names,gs,rd,Home,Team Type,Home Institute,Home Team,Modified Home,Venue Postcode,Lat,Lon,id,league,tier,section
73,Exeter Men's 4,1533.236919593459,50.42774264939967,Exeter Men's 4,Men's,Exeter,4,Exeter,EX4 4QN,50.73776,-3.5297,290,Tier2_6,Tier2,6
74,Birmingham Men's 5,1532.6891271035793,50.95155128557168,Birmingham Men's 5,Men's,Birmingham,5,Birmingham,B15 2GR,52.4623,-1.9212,94,Tier2_7,Tier2,7
75,LSE Men's 1,1527.7622965884589,50.970231297440776,LSE Men's 1,Men's,LSE,1,LSE,E20 3AD,51.5468,-0.0096,466,Tier2_1,Tier2,1
76,Strathclyde Men's 2,1526.825231069445,50.431344066343335,Strathclyde Men's 2,Men's,Strathclyde,2,Strathclyde,G33 6ND,55.889,-4.1521,373,Tier2_3,Tier2,3
77,Manchester Men's 2,1525.9584063183852,51.52207954270914,Manchester Men's 2,Men's,Manchester,2,Manchester,M14 6HE,53.4482,-2.2257,268,Tier2_5,Tier2,5
78,Sheffield Men's 1,1523.4919394483527,50.42953628946343,Sheffield Men's 1,Men's,Sheffield,1,Sheffield,S8 8PS,53.3439,-1.47815,318,Tier2_4,Tier2,4
79,Glasgow Men's 2,1523.1153475196174,50.95168497130571,Glasgow Men's 2,Men's,Glasgow,2,Glasgow,G20 0SP,55.8906,-4.2904,48,Tier2_3,Tier2,3
80,Liverpool John Moores Men's 1,1517.2141111621015,50.45115218058855,Liverpool John Moores Men's 1,Men's,Liverpool John Moores,1,Liverpool John Moores,L37 7DP,53.5515,-3.0426333333333333,151,Tier2_5,Tier2,5
81,Loughborough Men's 4,1515.7035162688053,51.49182552590904,Loughborough Men's 4,Men's,Loughborough,4,Loughborough,LE11 3TU,52.76669999999999,-1.2,30,Tier2_4,Tier2,4
82,Cardiff Met Men's 2,1512.2815931996,50.42685758054589,Cardiff Met Men's 2,Men's,Cardiff Met,2,Cardiff Met,CF5 2YB,51.471875,-3.275816666666667,1,Tier2_6,Tier2,6
83,Swansea Men's 2,1511.688930524251,49.9138520235608,Swansea Men's 2,Men's,Swansea,2,Swansea,SA2 9AU,51.61628,-4.04254,426,Tier2_6,Tier2,6
84,UCL Men's 2 (RUMS),1510.5973712397197,49.934340798688936,UCL Men's 2 (RUMS),Men's,UCL (RUMS),2,UCL (RUMS),EN4 0PS,51.650580000000005,-0.158,75,Tier2_1,Tier2,1
85,Leeds Men's 2,1509.3521207062554,50.42699757867514,Leeds Men's 2,Men's,Leeds,2,Leeds,LS16 5AU,53.868475,-1.5981,396,Tier2_4,Tier2,4
86,Portsmouth Men's 2,1509.115539721431,49.91745591358232,Portsmouth Men's 2,Men's,Portsmouth,2,Portsmouth,PO4 8LW,50.78925,-1.06255,435,Tier2_2,Tier2,2
87,Royal Holloway Men's 1,1503.5254189384325,50.4252334424908,Royal Holloway Men's 1,Men's,Royal Holloway,1,Royal Holloway,TW20 9TR,51.422,-0.5545249999999999,347,Tier2_2,Tier2,2
88,Oxford Brookes Men's 2,1501.1503564598015,50.95608769013052,Oxford Brookes Men's 2,Men's,Oxford Brookes,2,Oxford Brookes,OX3 0GB,51.78040000000001,-1.2171666666666667,118,Tier2_7,Tier2,7
89,Sheffield Hallam Men's 2,1500.446391180031,50.42697674050243,Sheffield Hallam Men's 2,Men's,Sheffield Hallam,2,Sheffield Hallam,S17 3LJ,53.3205,-1.54055,250,Tier2_4,Tier2,4
90,Glasgow Caledonian Men's 1,1500.4126059482064,51.49795222877254,Glasgow Caledonian Men's 1,Men's,Glasgow Caledonian,1,Glasgow Caledonian,G40 1HB,55.8485,-4.2235,325,Tier2_3,Tier2,3
91,Brunel Men's 1,1495.544394656138,49.93044692622029,Brunel Men's 1,Men's,Brunel,1,Brunel,UB8 3PH,51.537866666666666,-0.4791333333333333,339,Tier2_2,Tier2,2
92,UWE Men's 2,1495.0461482995952,50.95601610670192,UWE Men's 2,Men's,UWE,2,UWE,BS16 1QY,51.49088571428571,-2.5036,296,Tier2_7,Tier2,7
93,Northumbria Men's 1,1493.2888370704868,50.950594954020914,Northumbria Men's 1,Men's,Northumbria,1,Northumbria,NE29 6TL,55.0165,-1.4493,502,Tier2_3,Tier2,3
94,Cambridge Men's 2,1489.166993502461,50.42358486934885,Cambridge Men's 2,Men's,Cambridge,2,Cambridge,CB3 0EQ,52.21142068965517,0.0983172413793103,365,Tier2_1,Tier2,1
95,Newcastle Men's 2,1486.0966370514368,50.43342986272643,Newcastle Men's 2,Men's,Newcastle,2,Newcastle,NE12 8AD,55.029,-1.5676,21,Tier2_3,Tier2,3
96,Imperial Men's 2 (Medics),1484.5478075027886,50.94649306768616,Imperial Men's 2 (Medics),Men's,Imperial (Medics),2,Imperial (Medics),UB3 5AQ,51.5158,-0.4234,162,Tier2_2,Tier2,2
97,St Mary's Men's 1,1480.5330789081495,50.96469042288372,St Mary's Men's 1,Men's,St Mary's,1,St Mary's,TW11 9BE,51.4223,-0.3305,549,Tier2_2,Tier2,2
98,Canterbury CC Men's 1,1479.8411203724286,50.942342171252655,Canterbury CC Men's 1,Men's,Canterbury CC,1,Canterbury CC,CT3 4AF,51.30005333333334,1.17362,514,Tier2_1,Tier2,1
99,Warwick Men's 2,1477.147153026776,50.43262796428681,Warwick Men's 2,Men's,Warwick,2,Warwick,CV4 8AH,52.3833,-1.5833000000000002,257,Tier2_7,Tier2,7
100,Chester: Chester Men's 1,1468.277813826585,62.414449261505474,Chester: Chester Men's 1,Men's,Chester: Chester,1,Chester: Chester,CH1 4AR,53.2239,-2.9434428571428577,578,Tier2_5,Tier2,5
101,King's College Men's 2,1468.040926972605,49.92065801532625,King's College Men's 2,Men's,King's College,2,King's College,SE23 1NW,51.44696666666667,-0.0416666666666666,459,Tier2_2,Tier2,2
102,Aberdeen Men's 1,1464.445367400792,50.4309184259956,Aberdeen Men's 1,Men's,Aberdeen,1,Aberdeen,AB24 5RU,57.1437,-2.0981,359,Tier2_3,Tier2,3
103,Leicester Men's 1,1462.828573902778,50.4306032199008,Leicester Men's 1,Men's,Leicester,1,Leicester,LE2 2LL,52.60181666666667,-1.1167166666666668,475,Tier2_4,Tier2,4
104,Bath Men's 4,1461.9147163409036,49.92151854814049,Bath Men's 4,Men's,Bath,4,Bath,BA2 7AY,51.35473913043478,-2.3910565217391304,209,Tier2_6,Tier2,6
105,Coventry Men's 1,1454.676952547571,50.4242746922673,Coventry Men's 1,Men's,Coventry,1,Coventry,CV4 8GP,52.3833,-1.5833000000000002,264,Tier2_7,Tier2,7
106,Kingston Men's 1,1448.9208479897911,54.46818370931674,Kingston Men's 1,Men's,Kingston,1,Kingston,E20 3AD,51.5468,-0.0096,585,Tier2_1,Tier2,1
107,Cardiff Men's 3,1439.062995048236,50.42452705913293,Cardiff Men's 3,Men's,Cardiff,3,Cardiff,CF14 3AT,51.5199,-3.204,11,Tier2_6,Tier2,6
108,Essex Men's 1,1434.0418638500073,49.93130968122712,Essex Men's 1,Men's,Essex,1,Essex,CO4 3SQ,51.92355,0.92045,448,Tier2_1,Tier2,1
109,Chester Men's 1,1426.010631508152,56.41269497392521,Chester Men's 1,Men's,Chester,1,Chester,CH1 4AR,53.2239,-2.9434428571428577,535,Tier2_5,Tier2,5
110,Aston Men's 1,1405.808597947655,50.42412978940077,Aston Men's 1,Men's,Aston,1,Aston,B43 7AJ,52.5472,-1.9319,201,Tier2_4,Tier2,4
111,Plymouth Men's 1,1405.0325589061,51.48630955120412,Plymouth Men's 1,Men's,Plymouth,1,Plymouth,PL6 8BH,50.41898333333333,-4.113466666666667,454,Tier2_6,Tier2,6
112,Gloucestershire Men's 1,1398.9076739323202,49.91479938108602,Gloucestershire Men's 1,Men's,Gloucestershire,1,Gloucestershire,GL2 9DW,51.85873125,-2.2777125,411,Tier2_7,Tier2,7
113,Liverpool John Moores Men's 2,1296.295759059613,50.42684135012675,Liverpool John Moores Men's 2,Men's,Liverpool John Moores,2,Liverpool John Moores,L37 7DP,53.5515,-3.0426333333333333,150,Tier2_5,Tier2,5
114,Edinburgh Napier Men's 1,1285.3741986368775,59.554962383000046,Edinburgh Napier Men's 1,Men's,Edinburgh Napier,1,Edinburgh Napier,EH16 5LL,55.92249999999999,-3.1511333333333336,153,Tier3_4,Tier3,4
115,Nottingham Men's 6,1279.4007975891943,53.22121242231641,Nottingham Men's 6,Men's,Nottingham,6,Nottingham,NG7 2PS,52.9536,-1.1505,55,Tier3_5,Tier3,5
116,Exeter Men's 6,1278.959931305591,51.49621444079881,Exeter Men's 6,Men's,Exeter,6,Exeter,EX4 4QN,50.73776,-3.5297,288,Tier3_2,Tier3,2
117,Kent Men's 2,1264.9708157762375,51.50223760166936,Kent Men's 2,Men's,Kent,2,Kent,CT2 7SR,51.29774999999999,1.09156,385,Tier3_1,Tier3,1
118,Loughborough Men's 5,1258.662186493677,50.44090574262418,Loughborough Men's 5,Men's,Loughborough,5,Loughborough,LE11 3TU,52.76669999999999,-1.2,32,Tier3_5,Tier3,5
119,York Men's 2,1255.3260198877329,51.4830581758715,York Men's 2,Men's,York,2,York,YO10 5NA,53.9576,-1.0827,246,Tier3_6,Tier3,6
120,Queen Mary Men's 1 (Barts),1247.0842077502905,62.39487258041514,Queen Mary Men's 1 (Barts),Men's,Queen Mary (Barts),1,Queen Mary (Barts),E20 3AD,51.5468,-0.0096,568,Tier3_1,Tier3,1
121,Queen Mary Men's 2,1240.2406460164984,62.39486905677262,Queen Mary Men's 2,Men's,Queen Mary,2,Queen Mary,E20 3AD,51.5468,-0.0096,493,Tier3_1,Tier3,1
122,East Anglia Men's 1,1239.3137366911722,50.97661981459896,East Anglia Men's 1,Men's,East Anglia,1,East Anglia,NR4 7TJ,52.61646,1.24368,494,Tier3_1,Tier3,1
123,Cardiff Men's 4 (Medics),1233.799604501556,50.42526968758123,Cardiff Men's 4 (Medics),Men's,Cardiff (Medics),4,Cardiff (Medics),CF14 3AT,51.5199,-3.204,418,Tier3_2,Tier3,2
124,East Anglia Men's 2,1231.9446791754324,59.60729110636065,East Anglia Men's 2,Men's,East Anglia,2,East Anglia,NR4 7TJ,52.61646,1.24368,496,Tier3_1,Tier3,1
125,Queen Mary Men's 2 (Barts),1231.932742499415,56.42410598183091,Queen Mary Men's 2 (Barts),Men's,Queen Mary (Barts),2,Queen Mary (Barts),E20 3AD,51.5468,-0.0096,567,Tier3_3,Tier3,3
126,Hull Men's 1,1230.3589871723457,51.47435815600787,Hull Men's 1,Men's,Hull,1,Hull,HU6 8JG,53.8011,-0.3714,537,Tier3_6,Tier3,6
127,Roehampton Men's 1,1229.8125729170392,51.49237116509376,Roehampton Men's 1,Men's,Roehampton,1,Roehampton,SW15 5JQ,51.45653333333333,-0.2306,410,Tier3_3,Tier3,3
128,Edinburgh Men's 4,1229.5812315896046,50.96391382849909,Edinburgh Men's 4,Men's,Edinburgh,4,Edinburgh,EH16 5LL,55.92249999999999,-3.1511333333333336,86,Tier3_4,Tier3,4
129,Nottingham Trent Men's 5,1224.504325884949,60.439559013326445,Nottingham Trent Men's 5,Men's,Nottingham Trent,5,Nottingham Trent,NG11 8NS,52.87862,-1.19524,114,Tier3_5,Tier3,5
130,Harper Adams Men's 1,1222.9529947031217,52.0609372560312,Harper Adams Men's 1,Men's,Harper Adams,1,Harper Adams,TF10 8NB,52.765905,-2.350815,303,Tier3_5,Tier3,5
131,Manchester Men's 3,1221.885750614558,51.4911669253942,Manchester Men's 3,Men's,Manchester,3,Manchester,M14 6HE,53.4482,-2.2257,270,Tier3_6,Tier3,6
132,Reading Men's 3,1221.790338613726,51.50823437325573,Reading Men's 3,Men's,Reading,3,Reading,RG6 6UR,51.4396,-0.9292,227,Tier3_7,Tier3,7
133,Imperial Men's 3,1221.1814653572849,50.98123789759517,Imperial Men's 3,Men's,Imperial,3,Imperial,TW7 4NQ,51.4752,-0.3425,333,Tier3_3,Tier3,3
134,Bristol Men's 5,1218.793302159822,52.03933082227604,Bristol Men's 5,Men's,Bristol,5,Bristol,BS9 2BJ,51.4874,-2.6266,236,Tier3_2,Tier3,2
135,Bristol Men's 4,1217.1400973633945,50.42510856197716,Bristol Men's 4,Men's,Bristol,4,Bristol,BS9 2BJ,51.4874,-2.6266,240,Tier3_2,Tier3,2
136,Keele Men's 1,1215.6394784930922,50.950727077219625,Keele Men's 1,Men's,Keele,1,Keele,ST5 5BG,53.00718,-2.253533333333333,504,Tier3_5,Tier3,5
137,Cardiff Men's 5,1215.3430178023807,51.49732800461958,Cardiff Men's 5,Men's,Cardiff,5,Cardiff,CF14 3AT,51.5199,-3.204,16,Tier3_2,Tier3,2
138,City Men's 1,1211.0993154291975,49.94065167711553,City Men's 1,Men's,City,1,City,E20 3AD,51.5468,-0.0096,175,Tier3_3,Tier3,3
139,St Andrews Men's 2,1210.3163555382544,52.04218303024901,St Andrews Men's 2,Men's,St Andrews,2,St Andrews,KY16 9DY,56.34,-2.816311111111111,133,Tier3_4,Tier3,4
