names,gs,rd
Glasgow Caledonian Men's 1,1500.4126059482064,51.49795222877254
Winchester Women's 1,915.4068139426652,50.43466312562822
Royal Agricultural Women's 2,863.6902730398274,53.85405661220137
UCL Women's 1,2223.380677918096,52.630891287817526
Cardiff Met Women's 1,2302.5502267092415,53.223263336207815
Lancaster Women's 1,1527.0659311493746,50.429973192515334
Bangor Women's 1,1526.6542434085432,50.955270250931626
Plymouth Men's 2,892.8624983455685,55.828429715971886
Royal Agricultural Men's 1,913.9283650637343,52.66480251674638
Nottingham Trent Men's 1,3017.908730860759,53.23436679762633
Durham Men's 1,3044.67302937991,52.618989103990096
Durham Men's 3,2026.9247261288704,49.92438721006365
Manchester Met Men's 1,2038.2305938784289,49.94398177536927
Durham Women's 5,1536.0513512812522,50.95371284853593
Sheffield Hallam Women's 1,1475.7497591145275,50.951175086290725
Nottingham Women's 6,1290.8245473727807,50.96555966306122
Leicester Women's 1,1127.442151074465,50.43824266327591
Bath Women's 2,1499.7645348901174,50.428730225592844
UWE Women's 1,1486.2148294284416,50.42949677697781
Royal Veterinary College Women's 2,737.6897913979352,57.31331526775311
Royal Veterinary College Women's 1,738.6700278522751,58.06385249913998
Leeds Women's 4,1197.205439065918,52.05498744509917
Northumbria Women's 2,1241.1619349037808,52.60171335160188
Leeds Men's 4,866.1512677537128,52.065731357134965
Newcastle Men's 3,865.2410871161685,50.44129063082667
Oxford Brookes Women's 6,916.2117287767829,61.32818629875738
Worcester Women's 2,839.6343601581028,53.88493712376451
Southampton Women's 4,863.2714478567702,54.4837471974266
Bath Spa Women's 1,892.5029115525376,50.95848265718038
Newcastle Women's 4,1249.3739018131612,50.95264312722148
Leeds Women's 3,1221.656939545386,51.49565912921017
Bournemouth Women's 2,886.2410112666815,50.449751991006465
Exeter Women's 7,927.8810491094442,70.37360296796696
East Anglia Women's 1,1453.237034507058,50.95645382407907
Nottingham Women's 5,1572.3384260256269,50.42555724175076
Loughborough Men's 5,1258.662186493677,50.44090574262418
East Anglia Men's 2,1231.9446791754324,59.60729110636065
Reading Men's 3,1221.790338613726,51.50823437325573
King's College Men's 3 (GKT),1189.4845416979817,50.46426315063531
Swansea Men's 2,1511.688930524251,49.9138520235608
Cardiff Men's 3,1439.062995048236,50.424527059132934
Cardiff Met Women's 3,1229.5920486121,49.93030110519902
Aberystwyth Women's 1,1146.9994399087743,50.428400317786476
Birmingham City Men's 1,1575.8598819530796,52.63263890959833
Birmingham Men's 4,1540.0331657081947,50.95190143315499
Oxford Women's 2,1584.5109568272874,49.9147022797086
Oxford Women's 3,1402.933265027806,50.418432608460726
Birmingham Men's 2,2307.5699575981716,53.22387815565047
Leeds Beckett Men's 1,2274.6105826112066,52.63281469921203
Bangor Women's 2,655.0289541422981,51.529126888526946
Chester Women's 2,673.1448823147366,59.56655587218537
Sheffield Women's 3,884.9995977331682,50.97057406908959
Hull Women's 1,899.8572834491732,50.433702861074586
Edge Hill Women's 1,1188.4729985774782,50.43091987965314
Chester Women's 1,1134.35850866477,56.411324207599854
Coventry Women's 1,910.2748158193299,53.25363230549672
Derby Women's 1,904.2693968000569,52.639407343947106
Strathclyde Men's 2,1526.825231069445,50.431344066343335
Stirling Men's 1,1548.5357188875132,51.48502886606165
Brunel Men's 1,1495.544394656138,49.930446926220284
Imperial Men's 2 (Medics),1484.5478075027886,50.946493067686156
Birmingham Women's 1,3023.4716511136367,53.22971375615774
Bath Women's 1,2987.0077981648983,52.63127490640222
Hertfordshire Men's 1,851.4103599871248,50.96074722516955
Portsmouth Men's 3,851.3844046224826,50.448199929229425
UCLan Women's 1,1164.3931649718554,50.9554465581492
Liverpool Women's 3,1268.9447212928578,50.43767463622181
Abertay Women's 1,1504.6638448178655,50.43059110061682
Glasgow Women's 2,1547.9179128648445,50.42991751696818
St Andrews Men's 3,868.5066358043086,54.505029842480106
Edinburgh Men's 7,891.5025321829289,69.02312689304611
Sheffield Hallam Men's 3,875.3782523036243,50.44545405770239
Leeds Men's 5,894.7855106454949,55.81441106178696
King's College Men's 4,929.5070541636215,53.850994694443706
Imperial Men's 5 (Medics),902.975882726818,64.27556617929044
Edinburgh Women's 4,1507.521693206178,50.43140947463479
Heriot-Watt Women's 1,1519.4256839710952,50.42508860117547
Northumbria Women's 3,683.9569543030025,60.48782213260653
Newcastle Women's 6,714.0819050852938,59.609140705014376
Bristol Women's 1,2318.4929077142074,52.637775170248446
King's College Women's 1,2223.8231365447655,52.619048501443885
Sussex Women's 2,1031.8189305136652,52.64613209060685
Imperial Women's 3,964.1604746636881,52.623792522209776
King's College Women's 6,898.2676382134424,66.51325700884611
Canterbury CC Women's 2,739.9107142869406,49.93853941431359
UCL Men's 1,2069.10217294482,49.92524127225009
Kent Men's 1,2049.321096853121,48.95462915869267
Essex Men's 1,1434.0418638500073,49.93130968122712
Royal Holloway Men's 1,1503.5254189384323,50.4252334424908
Lancaster Women's 3,743.430278190933,55.12634621784643
Liverpool Women's 4,738.9390863598339,51.51355089360943
Southampton Men's 2,1176.2486399740978,51.49462180207703
Exeter Men's 6,1278.959931305591,51.49621444079881
UWE Men's 1,1578.2836200772044,50.954116268030795
Bath Men's 4,1461.9147163409036,49.92151854814049
St Mary's Men's 1,1480.5330789081495,50.96469042288372
UCL Men's 2 (RUMS),1510.5973712397197,49.934340798688936
Glasgow Men's 2,1523.1153475196174,50.95168497130571
Aberdeen Men's 1,1464.445367400792,50.4309184259956
Lincoln Women's 2,956.8007361023479,51.51162885107473
Leicester Women's 2,820.8576862872128,52.08007699602179
Marjon Women's 1,1134.8934063338077,49.9190664370415
Plymouth Women's 2,1221.8109872912432,50.42968480334316
Swansea Men's 3,1165.3282285400992,50.9525897778439
Cardiff Men's 4 (Medics),1233.799604501556,50.42526968758123
Reading Women's 3,1125.2595267024167,50.96332143896156
Surrey Women's 2,1226.8447080837989,50.97318554431939
Royal Holloway Women's 1,1453.2165282062049,49.91589063940338
LSE Women's 1,1595.3774435916644,50.43639202984254
Winchester Women's 2,878.9797476121353,53.843598453039654
Solent Women's 1,752.7407123117847,50.958352152355715
Warwick Men's 1,2282.404835357264,49.91966535515818
Manchester Men's 1,2337.188306901463,49.93133649600149
Loughborough Women's 5,1565.634356666577,50.42902857408284
Birmingham Women's 4,1504.2091296040114,50.42220845617938
Cardiff Women's 6,1222.768213974149,65.34487261778357
Cardiff Women's 5,1255.738244026459,49.93249251770065
Cardiff Women's 4,1552.1547506824656,50.45358342382634
Swansea Women's 2,1542.3522577471144,50.44103747777234
Exeter Women's 2,2333.527212158716,53.21862820002398
Swansea Women's 1,2328.876005422453,52.6196464420323
Oxford Brookes Men's 6,912.3308260071992,70.41231780437613
Leicester Men's 2,849.1442015532352,55.20849047835253
Warwick Men's 4,915.5683060923567,56.57468526383286
Nottingham Trent Men's 6,922.2406158214778,69.04519403989283
Robert Gordon Men's 1,989.4688909249096,54.48906295904895
Stirling Men's 2,858.8851521046913,54.488525736342226
Liverpool Hope Women's 1,862.865066780292,50.94904540668004
Sheffield Hallam Women's 2,881.6529800062141,49.92329602203165
Manchester Met Men's 2,860.4653824646307,50.42986635482397
Manchester Men's 4,883.1347036552047,50.43782953779791
Leeds Women's 5,777.549574172361,53.846667687859735
Manchester Women's 5,780.1393662488797,55.13090459618654
Hull Men's 1,1230.3589871723457,51.47435815600787
Leeds Men's 3,1153.3775913788536,50.429610963524745
Keele Women's 2,628.4815518550931,52.06971930816488
Manchester Met Women's 3,676.336141195097,54.45988404259712
Brighton Women's 1,1452.092274415486,55.70169515643695
Canterbury CC Women's 1,1504.5820602813812,50.42867173537636
Bournemouth Men's 2,1156.4365774561616,51.49006984644126
Bath Men's 5,1174.610736453007,50.955515540973366
Bucks New Women's 1,613.7479883604933,49.95156516745409
Imperial Women's 6,606.6809801821765,51.5231997381885
Surrey Men's 1,1544.6618463864106,49.92107859268761
Canterbury CC Men's 1,1479.8411203724286,50.942342171252655
Manchester Men's 5,674.6297751813252,56.54077483420723
UCLan Men's 1,713.2505092861601,55.808472871463096
Durham Men's 5,1182.3179479899804,50.433437631202
York Men's 2,1255.3260198877329,51.4830581758715
Durham Women's 6,971.0865338866939,57.207634624676714
York Women's 2,940.4513617250478,50.43562258534651
Manchester Women's 4,927.3080018251839,53.20742589465479
Lancaster Women's 2,919.3021137250623,50.424629893934835
Liverpool Men's 3,936.9902219828112,50.442579203484776
Lancaster Men's 3,935.333708914701,53.82343594924505
York Women's 3,746.4130399319688,53.22437753328659
York St John Women's 1,735.3717235269575,56.527573103982796
Royal Veterinary College Women's 3,647.6672810903746,55.81807130216551
King's College Women's 8,650.8100749175329,64.26774700228658
Liverpool John Moores Women's 2,775.3891235784179,50.97444289585002
Wrexham Glyndwr Women's 1,509.75665665641964,52.63770090168957
Edinburgh Women's 9,749.795815247211,66.53087429945381
Strathclyde Women's 3,755.0711603880478,53.868409452894646
Leeds Beckett Women's 3,934.9421037402168,50.44937807185156
Leeds Women's 6,928.5117208360924,53.23874408308048
Oxford Brookes Men's 3,1204.0570767857416,52.63016087653672
Nottingham Trent Men's 4,2041.3895060837217,49.429422356009475
Nottingham Trent Men's 3,2024.5307784417598,49.92086916097078
Bradford Men's 1,735.4607168635246,55.82831085571505
Queen Margaret Women's 1,726.760184437919,53.25799952261551
St Andrews Women's 4,741.6425646376717,52.66794334778538
LSE Men's 2,874.6852296044844,53.220481608283784
Edinburgh Napier Women's 1,1158.9043734455236,50.951183235959135
Edinburgh Women's 5,1243.6346500219129,51.499340584390175
Oxford Men's 2,1980.6876943734171,49.91515109268881
Nottingham Women's 3,2066.2714720336694,50.4283300950604
Birmingham Women's 3,2012.646440175577,50.95164514724442
Edinburgh Men's 4,1229.5812315896046,50.96391382849909
King's College Women's 4,1247.5107733823622,51.49030086293242
Surrey Women's 3,962.1705892463589,50.443456491195505
Northumbria Men's 1,1493.2888370704868,50.950594954020914
Exeter Men's 4,1533.2369195934593,50.42774264939967
Manchester Met Women's 1,2015.89818452204,50.44182098239175
Newcastle Women's 2,1994.685927457181,49.925105962080536
Leeds Beckett Women's 1,1983.0246664865258,53.22005842634125
Durham Women's 3,2047.5644217764843,50.43357360551327
Portsmouth Women's 3,712.5350328865471,61.333085881642724
St Andrews Women's 5,695.7967434033188,57.29583477973721
Robert Gordon Women's 2,804.4596980594843,53.25766366320432
Durham Men's 4,1545.3068463428947,50.95461899846416
Lancaster Men's 1,2009.3113784600591,50.41971714938874
Newcastle Men's 1,2048.3390768136665,50.42792843404009
Essex Women's 2,668.8324135307013,67.75619286223274
Nottingham Men's 4,2037.762951887401,50.4264344318252
Birmingham Men's 3,2042.7487060651683,50.42776645162155
King's College Men's 5 (GKT),664.6175175649552,56.555633449736476
Hartpury Women's 1,899.1630962804579,51.528559740110815
Cardiff Women's 8,952.3091989820545,60.45782509052298
Nottingham Women's 7,727.2673460451638,69.08352959684883
Warwick Women's 3,645.7865090799772,53.94131324682457
Lincoln Men's 1,1164.938253186476,50.95926109389755
Sheffield Women's 4,770.5551962046359,53.847690628259784
Edinburgh Men's 3,2025.6010590292165,52.04444062210373
Queen Mary Women's 1 (Barts),1938.3779914648785,50.436885165319836
Sussex Women's 1,2070.233092811741,50.430150206548696
Strathclyde Men's 1,1993.795983115113,52.03834837027
Edinburgh Men's 2,2027.551667002478,49.9260549523019
Bristol Men's 4,1217.1400973633945,50.42510856197716
Chester Men's 1,1426.010631508152,56.41269497392521
Sussex Men's 1,2043.2820310112008,49.918494582972066
Portsmouth Men's 1,2006.2956705153078,49.921123316165364
King's College Women's 2 (GKT),1511.2828682484171,50.42216658678349
Imperial Men's 6,883.1917762172105,56.42999162655583
Edinburgh Men's 5,1207.1027701588096,51.497568059655535
Kent Women's 4,566.8627890249021,55.173929318876404
King's College Women's 7 (GKT),702.8674636453342,69.04739766655528
Dundee Women's 5,641.6707439158599,67.77023054371357
Aberdeen Women's 5,674.8407880416919,66.55687599562252
Dundee Women's 2,1243.2333232710566,50.95421789864288
Queen Mary Women's 3 (Barts),971.7956875704914,55.86837433316454
Portsmouth Women's 1,2030.2157814696116,49.94330831691343
St Mary's Women's 1,2009.5064665451305,49.42517197025633
Exeter Women's 6,1242.3652572446904,51.492932939118916
UWE Men's 3,794.405675351984,52.683073673765385
UCL Men's 3,1167.2689753148252,50.43716317679913
Robert Gordon Women's 1,1415.1355891825524,50.42239141669372
Bournemouth Men's 1,2034.2661699543044,49.9241740939245
Swansea Men's 1,1994.4283648318565,52.625088705652374
Imperial Men's 3,1221.1814653572847,50.98123789759517
Roehampton Men's 1,1229.8125729170392,51.49237116509376
Plymouth Men's 1,1405.0325589061,51.48630955120412
Nottingham Men's 3,2029.7219041558874,50.430104701369594
Harper Adams Women's 2,928.8980727188173,54.491822084815674
Edinburgh Women's 2,2025.7147914077025,50.94867968089116
